Type,Species,Scientific Name,Family,Order,Habitat,Feeding,Plastic type,Plastic_no
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Short Tailed Shearwater,Puffinus tenuirostris,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Shy Albatross,Thalassarche cauta,Diomedeiadae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Silver Gull,Chroicocephalus novaehollandiae,Laridae,Charadriiformes,Coastal beach,Pick from beach,Fishing,2
Bird,Slender Billed Prion,Pachyptila belcheri,Procellariidae,Procellariiformes,Pelagic,Flight feeding,Fishing,0
Bird,Slender Billed Prion,Pachyptila belcheri,Procellariidae,Procellariiformes,Pelagic,Flight feeding,Fishing,0
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Southern Giant Petrel,Macronectes giganteus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,1
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Wedge Tailed Shearwater,Puffinus pacificus,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Bird,Westland Black Petrel,Procellaria westlandica,Procellariidae,Procellariiformes,Pelagic,Surface feeding,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
Trawl,NA,NA,NA,NA,NA,NA,Fishing,0
